474,399,681
397,495,831
583,309,942
721,528,997
391,444,316
835,463,942
163,468,401
208,797,106
160,485,233
707,564,458
502,404,228
150,225,389
251,619,502
607,418,687
541,318,281
147,582,704
218,470,745
741,204,974
244,898,769
534,599,530
299,554,653
956,969,344
884,179,890
929,132,156
941,299,654
740,506,795
955,875,859
830,909,480
985,294,405
260,460,458
180,138,163
572,260,760
745,301,778
492,614,124
612,427,826
692,674,722
403,956,733
601,542,416
226,187,142
433,656,791
498,893,330
960,601,506
732,334,507
979,945,946
526,847,473
974,778,101
236,608,487
563,331,786
770,154,574
423,402,554
943,888,141
464,134,823
290,755,560
763,576,461
121,393,886
835,291,399
660,867,359
293,910,918
152,148,704
556,783,586
888,612,436
122,175,374
928,461,131
476,962,789
268,294,830
653,929,848
556,720,810
926,522,737
191,771,397
898,362,849
208,341,329
338,596,964
887,390,807
212,551,510
617,291,303
604,989,166
561,228,981
999,233,876
996,602,550
530,161,471
228,360,671
715,466,955
589,259,179
355,299,523
914,932,605
211,214,464
194,578,342
669,286,435
359,422,231
351,145,405
907,470,157
526,797,205
480,958,873
425,379,196
832,712,561
639,827,242
214,209,971
394,366,776
162,949,676
294,300,401
370,839,150
102,439,315
900,717,467
840,245,428
210,531,961
964,316,395
284,698,222
992,548,261
427,207,125
183,666,763
372,626,787
341,452,658
407,612,770
572,846,907
394,489,393
601,639,437
149,501,256
805,117,408
925,486,346
795,272,658
295,546,153
586,644,607
694,364,845
597,562,810
956,488,898
902,989,898
391,667,701
395,361,560
440,519,960
798,636,358
944,703,612
346,362,882
923,487,790
879,342,643
195,818,803
495,980,604
749,554,587
760,386,530
914,981,707
475,445,897
490,375,230
487,514,270
930,463,935
560,102,289
340,181,111
632,873,345
167,835,563
978,332,767
423,799,147
739,403,905
108,765,881
310,792,579
997,467,246
734,287,973
208,794,185
158,316,379
793,234,195
133,542,971
513,987,106
122,646,233
934,447,626
481,278,335
831,898,711
907,688,704
224,925,942
600,684,712
897,991,667
516,307,471
656,538,108
919,532,314
103,218,101
737,128,847
650,740,375
986,347,993
701,358,796
726,766,908
630,802,793
954,960,117
565,527,856
400,310,156
902,300,521
778,728,711
883,242,624
410,681,231
187,156,340
528,226,553
340,199,826
167,868,478
137,767,183
445,319,583
568,444,238
119,603,496
796,415,185
936,777,512
290,939,585
989,725,950
103,513,258
706,234,166
613,909,726
906,271,319
369,258,175
965,423,211
531,221,688
199,551,269
454,444,742
435,413,606
706,622,265
851,798,174
362,561,102
162,620,225
751,635,960
825,533,461
282,522,942
530,352,852
531,573,744
987,746,963
716,756,282
851,398,203
943,373,973
388,439,792
291,466,590
826,511,584
834,718,721
686,214,905
840,754,822
323,115,479
109,480,630
632,549,526
514,495,232
564,400,115
543,238,277
429,882,198
730,983,404
869,184,409
348,344,316
148,719,943
697,928,896
359,986,431
